Community Area,name,population,income,latinos,blacks,white,asian,other,centerX,centerY
0,UNKNOWN,0,0,0,0,0,0,0
1,Rogers Park,54991,39482,0.244,0.263,0.393,0.064,0.036
2,West Ridge,71942,47323,0.204,0.111,0.427,0.225,0.032
3,Uptown,56362,40324,0.142,0.2,0.516,0.114,0.028
4,Lincoln Square,39493,57749,0.191,0.038,0.631,0.111,0.029
5,North Center,31867,81524,0.136,0.023,0.773,0.045,0.022
6,Lake View,94368,70746,0.076,0.039,0.804,0.06,0.021
7,Lincoln Park,64116,82707,0.056,0.043,0.829,0.051,0.021
8,Near North Side,80484,76290,0.049,0.108,0.721,0.101,0.02
9,Edison Park,11187,77678,0.078,0.003,0.884,0.024,0.012
10,Norwood Park,37023,64477,0.12,0.004,0.815,0.046,0.015
11,Jefferson Park,25448,60592,0.194,0.01,0.687,0.089,0.021
12,Forest Glen,18508,87394,0.115,0.007,0.746,0.107,0.024
13,North Park,17931,53305,0.18,0.032,0.493,0.257,0.038
14,Albany Park,51542,46198,0.494,0.04,0.292,0.144,0.029
15,Portage Park,64124,52356,0.388,0.013,0.535,0.046,0.017
16,Irving Park,53359,54048,0.456,0.033,0.417,0.07,0.025
17,Dunning,41932,61584,0.238,0.007,0.704,0.038,0.013
18,Montclare,13426,47460,0.54,0.045,0.375,0.028,0.012
19,Belmont Cragin,78743,42842,0.789,0.032,0.152,0.02,0.008
20,Hermosa,25010,42418,0.874,0.03,0.076,0.012,0.007
21,Avondale,39262,46519,0.644,0.025,0.284,0.03,0.016
22,Logan Square,72791,49610,0.512,0.054,0.392,0.025,0.017
23,Humboldt Park,56323,29605,0.533,0.409,0.044,0.004,0.009
24,West Town,82236,60720,0.291,0.078,0.572,0.038,0.022
25,Austin,98514,32358,0.089,0.851,0.044,0.006,0.01
26,West Garfield Park,18001,23033,0.019,0.962,0.007,0,0.011
27,East Garfield Park,20567,24488,0.041,0.909,0.034,0.004,0.012
28,Near West Side,54881,62770,0.092,0.315,0.42,0.146,0.027
29,North Lawndale,35912,25797,0.06,0.914,0.014,0.002,0.01
30,South Lawndale,79288,33593,0.826,0.131,0.039,0.001,0.004
31,Lower West Side,35769,34573,0.824,0.031,0.124,0.01,0.01
32,Loop,29283,78124,0.069,0.115,0.627,0.159,0.031
33,Near South Side,21390,75995,0.056,0.281,0.481,0.155,0.027
34,Armour Square,13391,27619,0.035,0.106,0.123,0.726,0.011
35,Douglas,18238,32805,0.025,0.726,0.099,0.127,0.022
36,Oakland,5918,20800,0.015,0.941,0.021,0.006,0.018
37,Fuller Park,2876,15086,0.046,0.922,0.016,0.002,0.014
38,Grand Boulevard,21929,28040,0.018,0.941,0.018,0.003,0.02
39,Kenwood,17841,39371,0.03,0.719,0.165,0.055,0.032
40,Washington Park,11717,21899,0.009,0.97,0.007,0.001,0.012
41,Hyde Park,25681,45335,0.063,0.304,0.467,0.124,0.041
42,Woodlawn,23740,27413,0.021,0.868,0.068,0.023,0.02
43,South Shore,52010,27903,0.017,0.949,0.014,0.002,0.018
44,Chatham,31028,32057,0.01,0.972,0.004,0.001,0.013
45,Avalon Park,10185,46903,0.015,0.957,0.008,0.002,0.018
46,South Chicago,31198,31164,0.217,0.747,0.019,0.002,0.015
47,Burnside,2916,32553,0.007,0.977,0.007,0,0.01
48,Calumet Heights,13812,55669,0.041,0.934,0.009,0.002,0.014
49,Roseland,44619,40142,0.01,0.974,0.004,0.001,0.011
50,Pullman,7325,40059,0.078,0.836,0.071,0.001,0.014
51,South Deering,15109,38594,0.318,0.619,0.048,0.001,0.013
52,East Side,23042,41196,0.784,0.034,0.172,0.002,0.007
53,West Pullman,29651,39601,0.051,0.931,0.006,0,0.012
54,Riverdale,6482,13380,0.02,0.964,0.005,0,0.01
55,Hegewisch,9426,49924,0.496,0.039,0.449,0.005,0.011
56,Garfield Ridge,34513,61206,0.392,0.059,0.532,0.01,0.007
57,Archer Heights,13393,42571,0.76,0.01,0.215,0.01,0.005
58,Brighton Park,45368,39289,0.853,0.012,0.081,0.05,0.004
59,McKinley Park,15612,42327,0.648,0.015,0.171,0.157,0.01
60,Bridgeport,31977,42382,0.27,0.021,0.351,0.345,0.013
61,New City,44377,32222,0.573,0.296,0.106,0.016,0.008
62,West Elsdon,18109,51003,0.79,0.014,0.179,0.012,0.004
63,Gage Park,39894,38855,0.892,0.054,0.047,0.003,0.003
64,Clearing,23139,54123,0.453,0.012,0.515,0.009,0.01
65,West Lawn,33355,46891,0.8,0.042,0.148,0.006,0.005
66,Chicago Lawn,55628,37779,0.452,0.493,0.043,0.003,0.009
67,West Englewood,35505,26654,0.022,0.963,0.004,0.001,0.011
68,Englewood,30654,19743,0.011,0.974,0.003,0.001,0.011
69,Greater Grand Crossing,32602,29663,0.012,0.969,0.006,0.001,0.013
70,Ashburn,41081,62238,0.368,0.462,0.152,0.007,0.011
71,Auburn Gresham,48743,34767,0.009,0.978,0.003,0.001,0.009
72,Beverly,20034,83092,0.046,0.341,0.588,0.006,0.019
73,Washington Heights,26493,42053,0.01,0.974,0.005,0,0.012
74,Mount Greenwood,19093,80505,0.072,0.052,0.86,0.007,0.01
75,Morgan Park,22544,56886,0.027,0.667,0.287,0.004,0.014
76,O'Hare,12756,49601,0.095,0.032,0.772,0.083,0.019
77,Edgewater,56521,43331,0.165,0.143,0.547,0.116,0.029
